vehiculo,nombre,posicion,stock_estado,ubicacion,precio,ultimo_precio,venta,nota,observaciones
116I 2006,Bomba Auxiliar De Calefacción,,DISPONIBLE,SANTIAGO,,,,,
116I 2006,Bomba De Aceite,,DISPONIBLE,SANTIAGO,60000.0,50000.0,,,
116I 2006,Bomba De Bencina,,DISPONIBLE,SANTIAGO,120000.0,110000.0,,2 PARTES,
116I 2006,Bomba De Pedal De Embrague,,VENDIDO,SANTIAGO,,,,,
116I 2006,Bomba Hidráulica,,VENDIDO,SANTIAGO,90000.0,80000.0,,BOMBA DE DIRECCIÓN,
116I 2006,Bomba Y Depósito De Freno,,DISPONIBLE,SANTIAGO,60000.0,50000.0,,,Posible múltiple repuesto
116I 2006,Borner Positivo Batería,,DISPONIBLE,SANTIAGO,40000.0,35000.0,,,
116I 2006,Botón De Alzavidrios,Delantera Derecha,NO DISPONIBLE,SANTIAGO,15000.0,10000.0,,,
116I 2006,Botón De Alzavidrios,Trasera Izquierda,VENDIDO,SANTIAGO,15000.0,10000.0,,,
116I 2006,Botón De Alzavidrios,Trasera Derecha,VENDIDO,SANTIAGO,15000.0,10000.0,,,
116I 2006,Botón De Encendido,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,
116I 2006,"Botón Hazard, Dtc Y Apertura De Puertas",,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,Posible múltiple repuesto
116I 2006,Botonera Alzavidrio,Delantera Izquierda,NO DISPONIBLE,,,,,,Sin ubicación
116I 2006,Botonera De Alzavidrios,Delantera Izquierda,VENDIDO,SANTIAGO,50000.0,45000.0,,,
116I 2006,Brazo Limpiaparabrisas,Delantera Izquierda,VENDIDO,SANTIAGO,20000.0,15000.0,,,
116I 2006,Brazo Limpiaparabrisas,Delantera Derecha,VENDIDO,SANTIAGO,20000.0,15000.0,,,
116I 2006,Brazo Limpiaparabrisas,Trasera,VENDIDO,SANTIAGO,20000.0,15000.0,,DE PORTALÓN,
116I 2006,Caja De Cambios,,VENDIDO,SANTIAGO,290000.0,280000.0,,,
116I 2006,Caliper,Delantera Izquierda,VENDIDO,SANTIAGO,70000.0,60000.0,,,
116I 2006,Caliper,Delantera Derecha,DISPONIBLE,SANTIAGO,70000.0,60000.0,,,
116I 2006,Caliper,Trasera Izquierda,DISPONIBLE,SANTIAGO,70000.0,60000.0,,,
116I 2006,Caliper,Trasera Derecha,DISPONIBLE,SANTIAGO,70000.0,60000.0,,,
116I 2006,Canister,,VENDIDO,SANTIAGO,60000.0,50000.0,,,
116I 2006,Cañería De Agua,,DISPONIBLE,SANTIAGO,,,,BORDEA EL MOTOR,
116I 2006,Cañería De Aire Juego,,DISPONIBLE,SANTIAGO,83000.0,70000.0,,,"Termino especial ""juego"""
116I 2006,Cañería De Bencina,,DISPONIBLE,SANTIAGO,,,,SALIDA BOMBA DE ALTA,
116I 2006,Cañeria De Combustible,,DISPONIBLE,SANTIAGO,,,,,
116I 2006,Cañería Hidráulica,,DISPONIBLE,SANTIAGO,,,,,
116I 2006,Cañería Hidráulica,,DISPONIBLE,SANTIAGO,,,,,
116I 2006,Cañería Líquido Hidráulico,,DISPONIBLE,SANTIAGO,,,,,
116I 2006,Capot,,VENDIDO,SANTIAGO,130000.0,120000.0,,,
116I 2006,Cardan,Trasera,VENDIDO,SANTIAGO,85000.0,80000.0,,,
116I 2006,Carter,,DISPONIBLE,SANTIAGO,70000.0,60000.0,,SOLO SIN SENSOR DE ACEITE,
116I 2006,Catalítico,,VENDIDO,SANTIAGO,60000.0,50000.0,,,
116I 2006,Chapa Capot,,VENDIDO,SANTIAGO,25000.0,20000.0,,,
116I 2006,Chapa,Portalon,VENDIDO,SANTIAGO,30000.0,25000.0,,,
116I 2006,Chapa Puerta,Delantera Izquierda,DISPONIBLE,SANTIAGO,45000.0,40000.0,,,
116I 2006,Chapa Puerta,Delantera Derecha,DISPONIBLE,SANTIAGO,45000.0,40000.0,,,
116I 2006,Chapa Puerta,Trasera Izquierda,DISPONIBLE,SANTIAGO,45000.0,40000.0,,,
