vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
SM3 2011,DISCO DE FRENO DELANTERO RH,Disco DE Freno,Derecha Delantera,DISPONIBLE,REVISADO,0,0,,,FRENO mal escrito (debería ser FRENO); DISCO mal escrito (debería ser DISCO); Posición RH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,c0e046220c0f089612a8378299694d522fbe8f9c5a810303ab6fd1fd610d1191,65,SI
SM3 2011,ECU,ECU,,DISPONIBLE,REVISADO,90000.0,85000.0,,,ECU mal escrito (debería ser ECU),2025-10-20 02:14:41,590308f4fd47926c1811476c715032eeb2fb8c4b6c5afe060da3aa3686878655,90,NO
SM3 2011,EJE PALIER LH,EJE Palier,Izquierda,DISPONIBLE,REVISADO,0,0,,,Posición LH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,c62fc18478ee16842026f2fb132595c8df7d227db3441896ee211ecad60f4596,75,NO
SM3 2011,EJE PALIER RH,EJE Palier,Derecha,DISPONIBLE,REVISADO,0,0,,,Posición RH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,8a6b809f292594a87970c10280c3abed93915fb47dc1588e4bb48002bba53639,75,NO
SM3 2011,ELECTROVENTILADOR,Electroventilador,,DISPONIBLE,REVISADO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,2136576caaaa2b2553cf42f6466c1a53b963f3f1347249093d69c3725917720c,75,NO
SM3 2011,EMBELLECEDOR CON REJILLAS DE VENTILACIÓN CENTRAL Y HAZARD,Embellecedor CON Rejillas DE Ventilación Y Hazard,Central,DISPONIBLE,REVISADO,0,0,,,Posición CENTRAL detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,bdb41c6c2baa02ff4894af42010dbb9cc5d9ede46167a3696b384a6ea122e58d,75,NO
SM3 2011,EMBELLECEDOR RADIO,Embellecedor Radio,,DISPONIBLE,REVISADO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,278ca5c21d604f4548fe87515557aeaa2da6a0b8d8f2c144a66167bb6d6c5d0b,75,NO
SM3 2011,EMBELLECEDOR SINÓPTICO,Embellecedor Sinóptico,,DISPONIBLE,REVISADO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,3c68b1414f9ca2da028075597ba7d29714a3ec3b91eeba4504ada1f2ad883054,75,NO
SM3 2011,ESPEJO LH,Espejo,Izquierda,DISPONIBLE,REVISADO,0,0,,,Posición LH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,0da47f2cc2579702179c024c7659e8b278e2acd6a23476b73cef0d07e5999153,75,NO
SM3 2011,FIJACIÓN SUPERIOR RADIADOR,Fijación Radiador,Superior,DISPONIBLE,REVISADO,0,0,,,RADIADOR mal escrito (debería ser RADIADOR); Posición SUPERIOR detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,e176afb8e299e6e434e8a49d066986bdab6853c9a8bb53e17a0bb9ac972b1ede,65,SI
SM3 2011,FLUJÓMETRO,Flujómetro,,DISPONIBLE,REVISADO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,4b8b4851fbbe9e84e677329fd35c66af6b713e10ab52b37bf669bb59e3add754,75,NO
SM3 2011,FOCO TRASERO RH,FOCO,Derecha Trasera,DISPONIBLE,REVISADO,0,0,,,Posición RH detectada; Posición TRASERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,5d97b239864fd40e998f33e9059db3b212872a35183ef2ffbde57d81b800f3fb,75,NO
SM3 2011,MANGUERAS AGUA (2),Manguerass AGUA (2),,DISPONIBLE,REVISADO,0,0,,,MANGUERA mal escrito (debería ser MANGUERAS); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,67eed842818b1fa2f5687d5b2ec9f4292ccd0d5da1e0e413c369175bebe009df,65,SI
SM3 2011,MANILLA EXTERIOR PUERTA DELANTERA IZQUIERDA,Manilla Exterior Puerta,Izquierda Delantera,DISPONIBLE,REVISADO,0,0,,,Posición IZQUIERDA detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,12f47146d7d32e092ac38d7dec6f3bcd2ab441401cf955a126a2b421f4bd32a3,75,NO
SM3 2011,MANILLA EXTERIOR PUERTA DELANTERA RH,Manilla Exterior Puerta,Derecha Delantera,DISPONIBLE,REVISADO,0,0,,,Posición RH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,8947595e034253b4346d8bebac77769e870cade72454c48564e4df89cccc9a3c,75,NO
SM3 2011,MANILLA EXTERIOR PUERTA TRASERA LH,Manilla Exterior Puerta,Izquierda Trasera,DISPONIBLE,REVISADO,0,0,,,Posición LH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,e126e8ef3810fd4e04949eaf7c91b04d7bb76e4b94340d8267b84a13ce01a321,75,NO
SM3 2011,MANILLA EXTERIOR PUERTA TRASERA RH,Manilla Exterior Puerta,Derecha Trasera,DISPONIBLE,REVISADO,0,0,,,Posición RH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,0edc2688c908133786a094fb2487bf1b921aafec6681b2f5c15ff33426b72c14,75,NO
SM3 2011,MANILLA INTERIOR PUERTA DELANTERA IZQUIERDA,Manilla Interior Puerta,Izquierda Delantera,DISPONIBLE,REVISADO,0,0,,,Posición IZQUIERDA detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,55eb5d5e7258a72859c295d1720e38e68a34d3e9dd3ef64d55021e568a905d6f,75,NO
SM3 2011,MANILLA INTERIOR PUERTA DELANTERA RH,Manilla Interior Puerta,Derecha Delantera,DISPONIBLE,REVISADO,0,0,,,Posición RH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,59f9954d5429a1546ea5556e1c4685365bcb553641d899f06d8b9c4329a06c31,75,NO
SM3 2011,MANILLA INTERIOR PUERTA TRASERA LH,Manilla Interior Puerta,Izquierda Trasera,DISPONIBLE,REVISADO,0,0,,,Posición LH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,f53672a711a3f8381cd62f8fd6e8435f83a1fad326f92bef4bbec6a0351f52d5,75,NO
SM3 2011,MANILLA INTERIOR PUERTA TRASERA RH,Manilla Interior Puerta,Derecha Trasera,DISPONIBLE,REVISADO,0,0,,,Posición RH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,3d0f36afaeaad6e3d61c886ab3f162fa529940ab0863e43e6fd261c3061f5f53,75,NO
SM3 2011,MÁSCARA CON DETALLE,Máscara CON Detalle,,DISPONIBLE,REVISADO,10000.0,10000.0,,,Estado 'CON DETALLE' detectado - revisar si es válido; Estado 'DETALLE' detectado - revisar si es válido,2025-10-20 02:14:41,6054de1b763618a464e9ae12210573d03d8c604c6e1f8e9472b99e269485ed4f,80,NO
SM3 2011,MAZA DELANTERA LH,MAZA,Izquierda Delantera,DISPONIBLE,REVISADO,0,0,,,Posición LH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,329d3dd0742c78019af00458e2b43ab066f0ac9f1bd63303be00414a73b214eb,75,NO
SM3 2011,MOLDURA INTERIOR ZÓCALO LH,Moldura Interior Zócalo,Izquierda,VENDIDO,REVISADO,5000.0,5000.0,,,Posición LH detectada,2025-09-20 02:14:41,6a2179e2df0d6ba532ca741e1ba6b89ea45d3a7227f6fee08067ad77a3827b7b,100,NO
SM3 2011,MOLDURA TRIÁNGULO INTERIOR ATRÁS DE ESPEJO DEL-RH,Moldura Triángulo Interior Atrás DE Espejo DEL-,Derecha,DISPONIBLE,REVISADO,0,0,,,Posición RH detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,103e6fb5d6af778b4268c4d3f479fcde4a3fa1b49508e3cf3b4007b84383661d,75,NO
SM3 2011,MOTOR DE PARTIDA,Motor DE Partida,,DISPONIBLE,REVISADO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,ae0c861a91e721c146f9f8f5472c2fa9397f02713321056de0928ff640de5e08,75,NO
SM3 2011,MÚLTIPLE DE ADMISIÓN (ES METÁLICO),Múltiple DE Admisión (ES Metálico),,DISPONIBLE,REVISADO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,4d49a35a8606ecc41a6c83365f06563cd4a189d4a8e9e0010430bb0490f8b21b,75,NO
